State-Based DQN Training
Started: 2025-11-25 14:31:14.416881
================================================================================

Episode 1: Score=47, Reward=40.64, Steps=65, Loss=1.1405, ε=0.9987 🏆 NEW BEST!
Episode 2: Score=47, Reward=-5.00, Steps=1, Loss=1.2694, ε=0.9987
Episode 3: Score=52, Reward=46.66, Steps=67, Loss=1.4679, ε=0.9974 🏆 NEW BEST!
Episode 4: Score=43, Reward=38.70, Steps=71, Loss=0.9599, ε=0.9960
Episode 5: Score=43, Reward=-5.00, Steps=1, Loss=1.8660, ε=0.9959
Episode 6: Score=44, Reward=39.86, Steps=187, Loss=0.9252, ε=0.9922
Episode 7: Score=44, Reward=-5.00, Steps=1, Loss=1.3780, ε=0.9922
Episode 8: Score=42, Reward=37.62, Steps=63, Loss=0.8152, ε=0.9910
Episode 9: Score=42, Reward=-5.00, Steps=1, Loss=0.9323, ε=0.9910
Episode 10: Score=44, Reward=38.72, Steps=73, Loss=0.9221, ε=0.9895
Episode 11: Score=44, Reward=-5.00, Steps=1, Loss=0.2809, ε=0.9895
Episode 12: Score=42, Reward=36.54, Steps=55, Loss=0.8655, ε=0.9884
Episode 13: Score=43, Reward=38.68, Steps=69, Loss=0.7632, ε=0.9870
Episode 14: Score=44, Reward=38.69, Steps=70, Loss=0.7693, ε=0.9856
Episode 15: Score=44, Reward=-5.00, Steps=1, Loss=1.2604, ε=0.9856
Episode 16: Score=44, Reward=38.60, Steps=61, Loss=0.9720, ε=0.9844
Episode 17: Score=44, Reward=-5.00, Steps=1, Loss=0.5876, ε=0.9844
Episode 18: Score=43, Reward=38.56, Steps=57, Loss=0.8754, ε=0.9833
Episode 19: Score=43, Reward=-5.00, Steps=1, Loss=1.9278, ε=0.9832
Episode 20: Score=43, Reward=38.56, Steps=57, Loss=0.9444, ε=0.9821
Episode 21: Score=43, Reward=-5.00, Steps=1, Loss=0.4894, ε=0.9821
Episode 22: Score=43, Reward=38.63, Steps=64, Loss=0.8624, ε=0.9808
Episode 23: Score=43, Reward=-5.00, Steps=1, Loss=0.5938, ε=0.9808
Episode 24: Score=43, Reward=38.61, Steps=62, Loss=1.0012, ε=0.9796
Episode 25: Score=43, Reward=-5.00, Steps=1, Loss=1.0641, ε=0.9796
Episode 26: Score=44, Reward=39.55, Steps=56, Loss=1.0046, ε=0.9785
Episode 27: Score=44, Reward=39.71, Steps=72, Loss=0.8715, ε=0.9770
Episode 28: Score=43, Reward=37.67, Steps=68, Loss=0.9823, ε=0.9757
Episode 29: Score=43, Reward=38.62, Steps=63, Loss=0.7728, ε=0.9744
Episode 30: Score=44, Reward=38.64, Steps=65, Loss=0.8551, ε=0.9732
Episode 31: Score=43, Reward=38.66, Steps=67, Loss=0.9070, ε=0.9718
Episode 32: Score=43, Reward=-5.00, Steps=1, Loss=1.4702, ε=0.9718
Episode 33: Score=43, Reward=38.54, Steps=55, Loss=0.9578, ε=0.9707
Episode 34: Score=42, Reward=37.67, Steps=68, Loss=0.9592, ε=0.9694
Episode 35: Score=42, Reward=-5.00, Steps=1, Loss=0.2527, ε=0.9693
Episode 36: Score=43, Reward=38.58, Steps=59, Loss=0.8882, ε=0.9682
Episode 37: Score=43, Reward=-5.00, Steps=1, Loss=0.2126, ε=0.9682
Episode 38: Score=62, Reward=57.78, Steps=79, Loss=0.8005, ε=0.9666 🏆 NEW BEST!
Episode 39: Score=62, Reward=-5.00, Steps=1, Loss=1.0539, ε=0.9666
Episode 40: Score=43, Reward=38.59, Steps=60, Loss=0.8995, ε=0.9654
Episode 41: Score=43, Reward=-5.00, Steps=1, Loss=1.2910, ε=0.9654
Episode 42: Score=44, Reward=38.60, Steps=61, Loss=0.8336, ε=0.9642
Episode 43: Score=43, Reward=38.77, Steps=78, Loss=0.9637, ε=0.9626
Episode 44: Score=43, Reward=-5.00, Steps=1, Loss=1.7421, ε=0.9626
Episode 45: Score=43, Reward=37.61, Steps=62, Loss=0.8620, ε=0.9614
Episode 46: Score=43, Reward=38.70, Steps=71, Loss=0.9121, ε=0.9600
